177,,
Dumba,,
Fuzu,,
Twalya,,
Gusa,,
,,
Dumba,,
,,
Jibu,kwitikiya,
Tafuta,kweza,
Jibizana,,
Wika,,
Fika,,
Kuuza,,
Kwepuka,,
Niwa,nivu,
Kuaza,,
Amini,,
Jenga,,
Nunua,,
Kwita,,
Jali,,
Twalya,kweleka,
Shika,gusa,
Kusababisha,,
Badilisha,,
Kagulya,,
Chagulya,,
Safisha,,
,,
Kusanya,,
Kuja,,
Kulalama,,
Kwisha,,
Kukusanya,,
Lyungana,,
Kwendeleza,,
Chagia,,
Amrisha,,
,,
Harama,,
Vyeza,,
Lyumba,,
Kukaata,,
Kata,,
Haribu,,
Shuhuli,,
Kufisa,,
Hebu,,
Kutegemelya,,
Kweleza,,
Vulga,tilifu,
Tengeza,lyunda,
Kwaga,,
,,
,,
Kuvalya,,
Kunywa,,
Kwendeza,pilika,
Kulya,,
,,
Furahi,,
,,
Tumaia,tumai,tegemea
Zoweya,,
Kweleza,,
Eleza,fafanua,
Wajihi,,
Kugwa,,
Kusikia,kusikili,
Kweza,,
Koma,Maliza,
Kwelyuka,,
Kwama,fisa,
sahau,,
samehe,,
unda,,
pata,,
Kumka,mkee,
Nenda,nda,
Kulya,,
Lyawiya,,
Pata,,
Siya,,
Saidiya,,
ficha,,
Shika,shikiliya,
,,
,,
,,
,,
,,
Mwambiya,,
Lyalika,,
,,
,,
,,
,,
,,
Cheka,kwekweteka,
,,
Uka,lyungulya,jitowa
,,
Penda,,
Wika mipaka,,
,,
Kuyeshi,,
Tizama,,
Penda,,
Faza,lyunda,
,,
Maanisha,,
,,
Kutana,,
Taja,,
Vi mwimbi,,
Wisha,,
Lazima,,
Hitaji,taka,yebu
Punguza bei,,
Fungulya,,
,,
,,
,,
Tenda,,
Cheza,usheza,
Nyorosha,kolyoza chanda,
,,
,,
,,
,,
Vyalya,,
,,
,,
Suta,,
Fika,,
,,
,,
Kwandika,,
Kupunguza,,
,,
Usisha,,
Kwacha,,
Kumbuka,,
,,
Kurudiya,,
Wika badala ya,,
Jibu,,
Kumsemelya,,
Jawabu,,
Rudiza,,
,,
Kongezeka,,
Sumka,,
,,
Kuronga,,
Chuza,,
Kuza,,
Tuma,pilika,
,,
,,
Piga mpira,,
Lyanga,,
Kwimba,,
Kalya,,
kuLyalya,,
,,
Kenya,,
,,
,,
Ronga,,
Kwima,,
Aza,,
Sibitisha,,
Durusu,,
Kufanikiwa,,
Pendekeza,,
Sambaza,tawanya,
,,
Salimika,,
Kufyagia,,
Kutwalya,,
Ronga,,
Kumwambiya,mwambile,
Pahatisha,,
Zani,fikiria,
,,
,,
Fuza,,
Kusafiri ,kuvuku,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Chuza,tizama,
,,
,,
,,
,,
,,
Karangiza,,
Pasi,,
